0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:08 +0700] "GET /FashionWebProject HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /FashionWebProject/ HTTP/1.1" 200 11426
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/mens_denim_jacket.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/mens_casual_shirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/womens_summer_dress.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/womens_blouse.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/kids_tshirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:10 +0700] "GET /static/images/products/kids_hoodie.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /FashionWebProject/category?id=all HTTP/1.1" 200 20635
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/mens_denim_jacket.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/mens_casual_shirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/womens_blouse.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/womens_summer_dress.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/kids_hoodie.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:19 +0700] "GET /static/images/products/kids_tshirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:28 +0700] "GET /FashionWebProject/category?id=1 HTTP/1.1" 200 16637
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:28 +0700] "GET /static/images/products/mens_denim_jacket.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:28 +0700] "GET /static/images/products/mens_casual_shirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:30 +0700] "GET /FashionWebProject/category?id=2 HTTP/1.1" 200 16631
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:30 +0700] "GET /static/images/products/womens_summer_dress.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:30 +0700] "GET /static/images/products/womens_blouse.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:31 +0700] "GET /FashionWebProject/category?id=3 HTTP/1.1" 200 16603
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:31 +0700] "GET /static/images/products/kids_tshirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:31 +0700] "GET /static/images/products/kids_hoodie.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:32 +0700] "GET /FashionWebProject/product?id=5 HTTP/1.1" 200 7999
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:32 +0700] "GET /static/images/products/kids_tshirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:49 +0700] "GET /FashionWebProject/category?id=all HTTP/1.1" 200 20635
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/mens_denim_jacket.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/mens_casual_shirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/womens_summer_dress.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/kids_tshirt.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/kids_hoodie.jpg HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [02/Nov/2024:00:03:50 +0700] "GET /static/images/products/womens_blouse.jpg HTTP/1.1" 404 683
